153   alpha=1.6146 beta=1.3443,    на последнем интервале alpha=1.3554, beta= 0.8868
154   alpha=1.6146 beta=1.3613,    на последнем интервале alpha=1.3193, beta= 0.8990
155   alpha=1.5953 beta=1.2932,    на последнем интервале alpha=1.3186, beta= 0.8992
156   alpha=1.5761 beta=1.2243,    на последнем интервале alpha=1.3179, beta= 0.8995
157   alpha=1.5666 beta=1.2331,    на последнем интервале alpha=1.3438, beta= 0.8908
158   alpha=1.5809 beta=1.3422,    на последнем интервале alpha=1.3030, beta= 0.9044
159   alpha=1.5845 beta=1.3766,    на последнем интервале alpha=1.3066, beta= 0.9032
160   alpha=1.5882 beta=1.4113,    на последнем интервале alpha=1.3102, beta= 0.9020
161   alpha=1.5807 beta=1.4522,    на последнем интервале alpha=1.2702, beta= 0.9153
162   alpha=1.5796 beta=1.4372,    на последнем интервале alpha=1.2846, beta= 0.9105
163   alpha=1.5665 beta=1.4209,    на последнем интервале alpha=1.2901, beta= 0.9087
164   alpha=1.5535 beta=1.4042,    на последнем интервале alpha=1.2955, beta= 0.9069
165   alpha=1.5384 beta=1.3329,    на последнем интервале alpha=1.2430, beta= 0.9242
166   alpha=1.5432 beta=1.4231,    на последнем интервале alpha=1.2474, beta= 0.9228
167   alpha=1.5342 beta=1.3796,    на последнем интервале alpha=1.2578, beta= 0.9194
168   alpha=1.5253 beta=1.3361,    на последнем интервале alpha=1.2682, beta= 0.9159
169   alpha=1.4920 beta=1.2858,    на последнем интервале alpha=1.2424, beta= 0.9244
170   alpha=1.5303 beta=1.4133,    на последнем интервале alpha=1.2404, beta= 0.9250
171   alpha=1.5180 beta=1.3662,    на последнем интервале alpha=1.2408, beta= 0.9249
172   alpha=1.5059 beta=1.3194,    на последнем интервале alpha=1.2413, beta= 0.9248
173   alpha=1.4923 beta=1.3474,    на последнем интервале alpha=1.1987, beta= 0.9386
174   alpha=1.5173 beta=1.4019,    на последнем интервале alpha=1.2054, beta= 0.9364
175   alpha=1.4871 beta=1.3803,    на последнем интервале alpha=1.2282, beta= 0.9290
176   alpha=1.5040 beta=1.4386,    на последнем интервале alpha=1.2229, beta= 0.9307
177   alpha=1.5210 beta=1.4972,    на последнем интервале alpha=1.2177, beta= 0.9324
178   alpha=1.5337 beta=1.4504,    на последнем интервале alpha=1.2039, beta= 0.9369
