живое время (секунд) 59838,00
Канал    набор
206  3.77300000000000E+0003
207  3.69800000000000E+0003
208  3.70500000000000E+0003
209  3.68000000000000E+0003
210  3.58200000000000E+0003
211  3.57200000000000E+0003
212  3.56800000000000E+0003
213  3.44500000000000E+0003
214  3.50300000000000E+0003
215  3.48400000000000E+0003
216  3.28300000000000E+0003
217  3.36300000000000E+0003
218  3.48300000000000E+0003
219  3.31800000000000E+0003
220  3.29500000000000E+0003
221  3.28600000000000E+0003
222  3.26000000000000E+0003
223  3.26300000000000E+0003
224  3.32300000000000E+0003
225  3.30400000000000E+0003
226  3.20800000000000E+0003
227  3.25800000000000E+0003
228  3.10200000000000E+0003
229  3.11800000000000E+0003
230  3.07300000000000E+0003
231  2.89500000000000E+0003
232  2.91600000000000E+0003
233  2.91900000000000E+0003
234  2.83700000000000E+0003
235  2.98600000000000E+0003
236  2.91200000000000E+0003
237  2.91000000000000E+0003
238  2.89500000000000E+0003
239  2.73800000000000E+0003
240  2.86000000000000E+0003
241  2.73300000000000E+0003
242  2.74400000000000E+0003
243  2.70600000000000E+0003
244  2.73600000000000E+0003
245  2.75200000000000E+0003
246  2.62100000000000E+0003
247  2.68600000000000E+0003
248  2.64400000000000E+0003
249  2.69100000000000E+0003
250  2.61400000000000E+0003
251  2.60900000000000E+0003
252  2.49300000000000E+0003
253  2.56300000000000E+0003
254  2.58900000000000E+0003
255  2.50500000000000E+0003
256  2.48500000000000E+0003
257  2.52900000000000E+0003
258  2.44500000000000E+0003
259  2.50900000000000E+0003
260  2.41500000000000E+0003
261  2.47100000000000E+0003
262  2.39400000000000E+0003
263  2.40700000000000E+0003
264  2.47900000000000E+0003
265  2.45700000000000E+0003
266  2.43500000000000E+0003
267  2.46800000000000E+0003
268  2.39200000000000E+0003
269  2.33000000000000E+0003
270  2.31100000000000E+0003
271  2.31500000000000E+0003
272  2.30900000000000E+0003
273  2.21700000000000E+0003
274  2.19600000000000E+0003
275  2.24700000000000E+0003
276  2.13600000000000E+0003
277  2.14900000000000E+0003
278  2.10100000000000E+0003
279  2.11600000000000E+0003
280  2.07700000000000E+0003
281  2.00600000000000E+0003
282  2.01700000000000E+0003
283  2.07000000000000E+0003
284  2.03000000000000E+0003
285  1.96100000000000E+0003
286  2.01500000000000E+0003
287  2.02100000000000E+0003
288  1.94100000000000E+0003
289  1.93300000000000E+0003
290  1.93000000000000E+0003
291  1.90100000000000E+0003
292  1.92300000000000E+0003
293  1.88500000000000E+0003
294  1.91600000000000E+0003
295  1.96600000000000E+0003
296  1.86600000000000E+0003
297  1.85200000000000E+0003
298  1.81700000000000E+0003
299  1.77400000000000E+0003
300  1.92400000000000E+0003
301  1.78700000000000E+0003
302  1.79400000000000E+0003
303  1.83800000000000E+0003
304  1.81200000000000E+0003
305  1.89500000000000E+0003
306  1.76100000000000E+0003
307  1.81100000000000E+0003
308  1.80700000000000E+0003
309  1.79200000000000E+0003
310  1.80600000000000E+0003
