живое время (секунд) 49762,00
Канал    набор
119  1.35070000000000E+0004
120  1.34820000000000E+0004
121  1.34060000000000E+0004
122  1.32440000000000E+0004
123  1.32710000000000E+0004
124  1.31100000000000E+0004
125  1.29850000000000E+0004
126  1.26700000000000E+0004
127  1.29370000000000E+0004
128  1.25090000000000E+0004
129  1.24280000000000E+0004
130  1.22180000000000E+0004
131  1.23590000000000E+0004
132  1.21870000000000E+0004
133  1.22100000000000E+0004
134  1.18190000000000E+0004
135  1.19120000000000E+0004
136  1.17020000000000E+0004
137  1.15860000000000E+0004
138  1.14530000000000E+0004
139  1.14130000000000E+0004
140  1.10640000000000E+0004
141  1.11020000000000E+0004
142  1.09690000000000E+0004
143  1.08770000000000E+0004
144  1.07350000000000E+0004
145  1.07640000000000E+0004
146  1.06360000000000E+0004
147  1.04190000000000E+0004
148  1.02940000000000E+0004
149  1.01540000000000E+0004
150  1.01330000000000E+0004
151  9.90900000000000E+0003
152  9.91800000000000E+0003
153  9.63500000000000E+0003
154  9.61300000000000E+0003
155  9.55700000000000E+0003
156  9.44300000000000E+0003
157  9.30000000000000E+0003
158  9.30700000000000E+0003
159  9.03500000000000E+0003
160  9.09700000000000E+0003
161  8.92200000000000E+0003
162  8.91100000000000E+0003
163  8.82100000000000E+0003
164  8.71800000000000E+0003
165  8.51200000000000E+0003
166  8.34800000000000E+0003
167  8.21400000000000E+0003
168  8.22400000000000E+0003
169  8.04700000000000E+0003
170  8.01300000000000E+0003
171  8.05200000000000E+0003
172  8.00800000000000E+0003
173  7.82800000000000E+0003
174  7.81400000000000E+0003
175  7.79300000000000E+0003
176  7.77900000000000E+0003
177  7.63900000000000E+0003
178  7.54500000000000E+0003
179  7.64500000000000E+0003
180  7.57000000000000E+0003
181  7.63300000000000E+0003
182  7.73800000000000E+0003
183  7.50000000000000E+0003
184  7.12200000000000E+0003
185  7.06600000000000E+0003
186  6.72900000000000E+0003
187  6.35600000000000E+0003
188  6.36300000000000E+0003
189  6.20300000000000E+0003
190  5.95700000000000E+0003
191  5.86800000000000E+0003
192  5.74200000000000E+0003
193  5.80000000000000E+0003
194  5.75700000000000E+0003
195  5.60700000000000E+0003
196  5.55800000000000E+0003
197  5.64800000000000E+0003
198  5.55500000000000E+0003
199  5.48100000000000E+0003
200  5.41000000000000E+0003
201  5.24000000000000E+0003
202  5.17800000000000E+0003
203  5.17100000000000E+0003
204  5.15800000000000E+0003
205  5.00400000000000E+0003
206  5.01300000000000E+0003
207  4.89500000000000E+0003
208  4.84700000000000E+0003
209  4.75900000000000E+0003
210  4.81200000000000E+0003
211  4.68900000000000E+0003
212  4.70300000000000E+0003
213  4.72300000000000E+0003
214  4.75500000000000E+0003
215  4.45300000000000E+0003
216  4.34600000000000E+0003
217  4.50500000000000E+0003
218  4.45800000000000E+0003
219  4.42100000000000E+0003
220  4.39300000000000E+0003
221  4.35300000000000E+0003
222  4.32400000000000E+0003
223  4.32800000000000E+0003
224  4.42800000000000E+0003
225  4.24600000000000E+0003
226  4.26800000000000E+0003
227  4.04200000000000E+0003
228  4.03800000000000E+0003
229  4.03200000000000E+0003
230  3.99900000000000E+0003
231  3.93100000000000E+0003
232  3.87300000000000E+0003
233  3.75300000000000E+0003
234  3.62300000000000E+0003
235  3.61000000000000E+0003
236  3.66500000000000E+0003
237  3.69400000000000E+0003
238  3.58900000000000E+0003
239  3.52500000000000E+0003
240  3.49100000000000E+0003
241  3.53700000000000E+0003
242  3.55900000000000E+0003
243  3.40800000000000E+0003
244  3.45100000000000E+0003
245  3.32500000000000E+0003
246  3.41800000000000E+0003
247  3.25900000000000E+0003
248  3.38000000000000E+0003
249  3.30500000000000E+0003
250  3.20000000000000E+0003
251  3.27300000000000E+0003
252  3.15500000000000E+0003
253  3.07900000000000E+0003
254  3.29600000000000E+0003
255  3.21600000000000E+0003
256  3.13000000000000E+0003
257  3.18600000000000E+0003
258  3.31400000000000E+0003
259  3.08100000000000E+0003
260  3.10000000000000E+0003
261  2.96900000000000E+0003
262  3.03700000000000E+0003
263  2.90200000000000E+0003
264  3.07100000000000E+0003
265  3.02000000000000E+0003
266  3.03100000000000E+0003
267  3.05700000000000E+0003
268  3.09400000000000E+0003
269  2.93400000000000E+0003
270  3.04100000000000E+0003
271  2.96400000000000E+0003
272  2.86300000000000E+0003
273  2.80600000000000E+0003
274  2.71100000000000E+0003
275  2.62500000000000E+0003
276  2.59700000000000E+0003
277  2.60200000000000E+0003
278  2.54500000000000E+0003
279  2.42100000000000E+0003
280  2.41300000000000E+0003
281  2.50300000000000E+0003
282  2.34900000000000E+0003
283  2.39900000000000E+0003
284  2.38400000000000E+0003
285  2.34300000000000E+0003
286  2.33300000000000E+0003
287  2.30900000000000E+0003
288  2.34600000000000E+0003
289  2.28800000000000E+0003
290  2.28300000000000E+0003
291  2.28200000000000E+0003
292  2.34600000000000E+0003
293  2.35400000000000E+0003
294  2.19400000000000E+0003
295  2.22600000000000E+0003
296  2.19300000000000E+0003
297  2.24200000000000E+0003
298  2.26700000000000E+0003
299  2.17400000000000E+0003
300  2.20800000000000E+0003
301  2.11400000000000E+0003
302  2.13800000000000E+0003
303  2.17100000000000E+0003
304  2.10700000000000E+0003
305  2.13100000000000E+0003
306  2.04000000000000E+0003
307  2.04500000000000E+0003
308  2.06400000000000E+0003
309  2.05600000000000E+0003
310  2.12600000000000E+0003
311  2.05500000000000E+0003
312  2.08400000000000E+0003
313  2.02400000000000E+0003
314  1.91100000000000E+0003
315  1.99600000000000E+0003
316  2.03800000000000E+0003
317  1.97400000000000E+0003
318  1.98400000000000E+0003
319  1.99100000000000E+0003
320  1.86200000000000E+0003
321  1.93300000000000E+0003
322  1.90700000000000E+0003
323  1.81200000000000E+0003
324  1.94900000000000E+0003
325  1.86700000000000E+0003
326  1.92900000000000E+0003
327  1.82800000000000E+0003
328  1.77900000000000E+0003
329  1.83400000000000E+0003
330  1.87300000000000E+0003
331  1.77100000000000E+0003
332  1.92000000000000E+0003
333  1.82500000000000E+0003
334  1.91700000000000E+0003
335  1.78100000000000E+0003
336  1.86500000000000E+0003
337  1.85700000000000E+0003
338  1.77600000000000E+0003
339  1.81500000000000E+0003
340  1.73400000000000E+0003
341  1.75800000000000E+0003
342  1.78300000000000E+0003
343  1.65500000000000E+0003
344  1.70000000000000E+0003
345  1.62000000000000E+0003
346  1.62900000000000E+0003
347  1.61300000000000E+0003
348  1.65900000000000E+0003
349  1.65400000000000E+0003
350  1.65300000000000E+0003
351  1.66400000000000E+0003
352  1.58400000000000E+0003
353  1.74400000000000E+0003
354  1.61900000000000E+0003
355  1.53800000000000E+0003
356  1.63600000000000E+0003
357  1.64700000000000E+0003
358  1.57300000000000E+0003
359  1.67500000000000E+0003
360  1.60200000000000E+0003
361  1.57800000000000E+0003
362  1.54200000000000E+0003
363  1.60700000000000E+0003
364  1.58200000000000E+0003
365  1.51500000000000E+0003
366  1.50600000000000E+0003
367  1.48500000000000E+0003
368  1.55200000000000E+0003
369  1.51700000000000E+0003
370  1.54500000000000E+0003
371  1.56000000000000E+0003
372  1.53300000000000E+0003
373  1.48900000000000E+0003
374  1.49000000000000E+0003
375  1.51300000000000E+0003
376  1.47000000000000E+0003
377  1.47400000000000E+0003
378  1.59800000000000E+0003
379  1.47600000000000E+0003
380  1.52300000000000E+0003
381  1.52800000000000E+0003
382  1.52800000000000E+0003
383  1.56500000000000E+0003
384  1.58700000000000E+0003
385  1.60300000000000E+0003
386  1.59900000000000E+0003
387  1.73000000000000E+0003
388  1.71800000000000E+0003
389  1.77200000000000E+0003
390  1.74800000000000E+0003
391  1.72900000000000E+0003
392  1.68800000000000E+0003
393  1.65600000000000E+0003
394  1.49100000000000E+0003
395  1.44700000000000E+0003
396  1.47900000000000E+0003
397  1.41500000000000E+0003
398  1.40300000000000E+0003
399  1.34700000000000E+0003
400  1.33900000000000E+0003
401  1.30600000000000E+0003
402  1.34800000000000E+0003
403  1.30500000000000E+0003
404  1.28800000000000E+0003
405  1.30800000000000E+0003
406  1.24200000000000E+0003
407  1.24900000000000E+0003
408  1.29300000000000E+0003
409  1.25900000000000E+0003
410  1.14600000000000E+0003
411  1.28100000000000E+0003
412  1.29700000000000E+0003
413  1.24700000000000E+0003
414  1.30200000000000E+0003
415  1.22100000000000E+0003
416  1.25300000000000E+0003
417  1.30400000000000E+0003
418  1.21800000000000E+0003
419  1.23400000000000E+0003
420  1.23600000000000E+0003
421  1.15100000000000E+0003
422  1.17200000000000E+0003
423  1.29700000000000E+0003
424  1.27600000000000E+0003
425  1.16900000000000E+0003
426  1.22600000000000E+0003
427  1.20900000000000E+0003
